dt,close,sma2,sma3,sma4,sma5,sma6,sma7,sma8,sma9,sma10,sma11,sma12,sma13,sma14,sma15,sma16,roc2,roc3,roc4,roc5,roc6,roc7,roc8,roc9,roc10,roc11,roc12,roc13,roc14,roc15,roc16,sentiment_score2,sentiment_score3,sentiment_score4,sentiment_score5,sentiment_score6,sentiment_score7,sentiment_score8,sentiment_score9,sentiment_score10,sentiment_score11,sentiment_score12,sentiment_score13,sentiment_score14,sentiment_score15,sentiment_score16,long,short
2022-03-31,0.3809693768291801,0.7013348561638963,0.9017774287957686,0.9386108929973563,0.9826397316011094,1.0,0.8484239723443074,0.7398815047469467,0.6173888214719088,0.5214504961096413,0.4332993724813292,0.3452780355485756,0.2228292800781886,0.10783883829782988,0.04084517096152211,0.0,-5.148325358851668,-3.785672684915542,-4.379702874782931,-3.9907012785741824,2.672467371037901,2.417854928704277,4.579025110782875,4.446786090621702,5.133644463300802,6.283508470941457,10.600312430261095,11.621621621621635,8.138773728998473,6.215173596228052,4.052068024354405,0.026429008333333302,0.034392561111111074,0.037633483333333315,0.032249441212121185,0.03183549512774803,0.036236448204736406,0.046714142179144345,0.034922439512774774,0.0473110955614973,0.03813960753524547,0.03301171315730835,0.03074821074660631,0.026159838550420145,0.016266744551820707,0.0028705261423319145,0,1
2022-04-04,0.2420653718616745,0.31552672812739174,0.5944078028398221,0.8175126626097697,0.8909740188754841,0.9617145841683967,1.0,0.8578143788944336,0.752667144424602,0.6277374922566726,0.5277484240061266,0.43388113544437584,0.33844415978293285,0.20358561381773027,0.07555296432605454,0.0,-4.335990666925915,-5.837320574162675,-4.484566103669185,-5.074281304263928,-4.688105385509478,1.9266625233063994,1.673899566026038,3.8193711753534476,3.688092729188619,4.36996181586764,5.511473300450365,9.79692033028341,10.81081081081081,7.353262055422216,5.443634804972142,0.014364442857142851,0.02444810079365077,0.030915992261904737,0.034204043809523785,0.03028891529581527,0.030214179497253416,0.034267677893430055,0.04379993590527116,0.033478824132925876,0.044872476484478056,0.036668497383498824,0.0320482187386143,0.03001521610144055,0.025781601694677848,0.016530465874474768,0,1
2022-04-05,0.0,0.2088823816495865,0.32536196518626775,0.5661298194241074,0.7746217667154686,0.8654628273954779,0.9481977271142722,1.0,0.894962312239032,0.8156173743289401,0.7152047562003733,0.6334797462176678,0.5550174569208266,0.47354110018824624,0.3555555555555544,0.24231332357247581,-2.885391444713481,-6.41648843087691,-7.885167464114828,-6.5618326538536165,-7.13872274744356,-6.760945370011617,-0.2900352185622568,-0.5373010952676172,1.5615108672715872,1.4330874604847166,2.100127280441244,3.2168132103795877,7.4090604775719715,8.40090090090091,5.0185468034039005,0.042156915584415554,0.030852143722943703,0.034292961958874435,0.037498302900432864,0.03914129408369405,0.03508014817563386,0.0344158502419149,0.03755210762244287,0.0458026968601986,0.03623779879852764,0.046452065565317,0.038757654927425486,0.03431817064689509,0.03226937139164754,0.028159473179669568,0,1
2022-04-06,0.0,0.10531535105117301,0.2677508925029717,0.38109877032923173,0.5826259420864712,0.76576755255851,0.858842862809544,0.9429293930979766,1.0,0.9260610868702873,0.8694601709278483,0.7925426418088034,0.7291062765081,0.6668272227574089,0.6007140023800047,0.5022560491868315,-3.373983739837405,-4.075867635189678,-7.563678786700367,-9.014354066985653,-7.707241312366531,-8.277059617981863,-7.9039132119333555,-1.5123264967889072,-1.7565612729902869,0.3165224730955929,0.1896733403582651,0.8485362749257597,1.9515333476302743,6.092390091497424,7.0720720720720776,-0.0902756717171717,-0.05335501924001923,-0.03795561443001442,-0.021441408210678213,-0.00948122906445408,-0.0013615891981035022,0.00014776854256851393,0.0034386570051589344,0.009359007971309712,0.01942255270119064,0.01285307482457628,0.02408045368422425,0.01853361608340303,0.01573836667784283,0.014978855124114017,0,1
2022-04-07,0.0039793076004739115,0.0,0.07693328027588835,0.22184639872661568,0.33744528452048855,0.5385329619312919,0.7287817634017405,0.8346597692001608,0.9311579785117409,1.0,0.935137286112226,0.8850643321395394,0.8120848510820649,0.7512364277187199,0.6902772250961644,0.6242538798249104,-1.1842925410346927,-3.3333333333333326,-4.035512510088779,-7.524790978028384,-8.976076555023916,-7.668413900213544,-8.238471927455137,-7.865168539325829,-1.4708928941371435,-1.7152304195081625,0.3587254695083475,0.23182297154900056,0.8909630886720477,1.99442419043534,6.137022985940632,-0.10372375694444441,-0.047873322811447794,-0.030783420680014415,-0.022978216544011533,-0.011712611008898512,-0.002850857055246359,0.0034250313266594268,0.004234835926727568,0.006787928804643054,0.011865586792099729,0.02088162122609143,0.014705251761147333,0.024998376635351077,0.019760133344509496,0.017062929697977656,0,1
2022-04-08,0.0,0.09760105159382461,0.1277248329499353,0.19610581662832163,0.31449227735786645,0.41510570708730266,0.5835406788413655,0.7469191587249363,0.8442691788074559,0.9337167269142195,1.0,0.9543213933618021,0.9190070527566336,0.8629172339326698,0.8157519991236615,0.7674786395004859,-1.0938157341186305,-2.3062538956991507,-4.43089430894309,-5.12510088781275,-8.574761812171882,-10.009569377990424,-8.716754028343999,-9.28033957167662,-8.911274699728777,-2.589600165734407,-2.831163463525521,-0.7807554336357825,-0.9062170706006345,-0.2545608824777168,0.8363714346987017,-0.012542062500000006,-0.0898210046296296,-0.05140886710858584,-0.037029836544011534,-0.029484430453342942,-0.018898738007627303,-0.010246437423340573,-0.0038461388207471758,-0.0023901976659451763,0.0005330716405845828,0.005708829559424765,0.014504919593315162,0.009225198063922514,0.019197451526327677,0.014649156260477657,0,1
2022-04-11,0.0,0.07631430186546591,0.1628038439796458,0.2043527416619529,0.2693046919163355,0.3730921424533658,0.4646693046919172,0.6126342566421717,0.758620689655173,0.8503109101187116,0.9351970810422021,1.0,0.9674305344175353,0.9424210611321996,0.8981345392877306,0.8606557377049197,-2.081581160639201,-2.0403870424905324,-3.24122169125286,-5.345528455284554,-6.03309120258273,-9.449737507291466,-10.870813397129186,-9.590370801786053,-10.148562608527879,-9.783029833397904,-3.5218562253988006,-3.76110766687332,-1.7303228529225612,-1.8545837723919933,-1.2091641917691964,-0.03412501923076921,-0.010439554487179453,-0.06892438808760679,-0.04237400137917636,-0.03189728686359934,-0.02616301731165659,-0.0173157130643662,-0.00980067087202922,-0.004084978784826286,-0.002739683192817299,-3.0895867925651963e-05,0.004790108942427594,0.013023529732254185,0.008194548962225124,0.01760795215208605,0,0
2022-04-12,0.0,0.012562120375486978,0.07058715258604492,0.14805356156819166,0.19309773605742478,0.25842076200994024,0.359943204228129,0.4522363335173935,0.5985950058285788,0.7451131971286576,0.8408463430550769,0.9301951039941065,1.0,0.9739488838053144,0.9542425915700314,0.9145672280507987,-1.1059123777116153,-2.22876366694702,-2.187631468237272,-3.3866611261167745,-5.487804878048785,-6.174334140435844,-9.585844837643398,-11.004784688995217,-9.726266744321489,-10.283619525371401,-9.91863618752421,-3.666873834679929,-3.9057656540607555,-1.878033340367169,-2.002107481559545,-0.02911648351648346,-0.04008282234432229,-0.020829273008241708,-0.06553919618437114,-0.043978072577885045,-0.03476887853614637,-0.029392443719128088,-0.021169348120706456,-0.014020446641969136,-0.008440746947244681,-0.006844578641034885,-0.004028398383579722,0.0007337848342950073,0.008688732512008678,0.004432487866371777,0,0
2022-04-13,0.1303027334182455,0.02537474282356132,0.0,0.03360438914470591,0.09820711276575411,0.13990398745959257,0.204369550308617,0.3077544822180895,0.40462427745665003,0.5590673067502723,0.7161039215511784,0.8215930243950198,0.9209818299658621,1.0,0.9765846967767196,0.9591824238267846,0.9448142581060637,-0.02126754572523426,-1.156433978132898,-1.1148506520824553,-2.3270309578225734,-4.451219512195137,-5.1452784503632,-8.594205716507874,-10.028708133971298,-8.736167734420498,-9.29963341694,-8.930647036032546,-2.6103169670603,-2.8518288902665945,-0.8018569318421709,0.012602410714285743,0.006323427655677713,-0.010761304258241709,-0.0012227684065933774,-0.04174878848697594,-0.026666455066758615,-0.020772362469128086,-0.017548477750336078,-0.011332088308635796,-0.005727383310881043,-0.0013037472016409434,-0.0003793610532629753,0.0017738622152473934,0.005831749178675344,0.01297088985500814,0,0
2022-04-14,0.0,0.2078593588417817,0.22440537745604422,0.23810754912098814,0.2742502585315391,0.3262668045501564,0.3625350864234025,0.4126163391933838,0.4884522578421243,0.5602895553257519,0.6718059603271714,0.785935884177868,0.8648476652613177,0.9395774855961021,1.0,0.987913650465359,-1.7849462365591373,-1.9325746188533333,-2.8711186729051486,-3.9739276703111837,-3.933529659234325,-5.1111572823602796,-7.174796747967482,-7.849071832122679,-11.199688897530624,-12.593301435406701,-11.33760434867015,-11.885008682230358,-11.526540100736138,-5.386368344727577,-5.620996073568918,0.06366333928571424,0.02510941666666668,0.017273427884615417,0.0014156423076923219,0.007334931089743611,-0.02862418605006103,-0.017067719611985235,-0.012895052353510688,-0.010781287118159606,-0.00574522313772087,-0.0010731489873552352,0.0026521893962874713,0.003227981062786408,0.004997166638992804,0.00859997914072242,1,0
